offer,candidates,link_offer
Romanian Translation Unit - Post A,9,https://ep-stages.gestmax.eu/2983/1/romanian-translation-unit-post-a/en_US?backlink=search
Quality Coordination Unit,9,https://ep-stages.gestmax.eu/2982/1/quality-coordination-unit/en_US?backlink=search
Polish Translation Unit - Post A,3,https://ep-stages.gestmax.eu/2981/1/polish-translation-unit-post-a/en_US?backlink=search
Polish Translation Unit - Post B,2,https://ep-stages.gestmax.eu/2980/1/polish-translation-unit-post-b/en_US?backlink=search
Planning Unit,7,https://ep-stages.gestmax.eu/2979/1/planning-unit/en_US?backlink=search
European Parliament Liaison Office in Cyprus - Post A,6,https://ep-stages.gestmax.eu/2978/1/european-parliament-liaison-office-in-cyprus-post-a/en_US?backlink=search
European Parliament Liaison Office in Cyprus - Post B,7,https://ep-stages.gestmax.eu/2977/1/european-parliament-liaison-office-in-cyprus-post-b/en_US?backlink=search
Multilingualism and External Relations Unit - Post B,12,https://ep-stages.gestmax.eu/2976/1/multilingualism-and-external-relations-unit-post-b/en_US?backlink=search
Multilingualism and External Relations Unit - Post A,23,https://ep-stages.gestmax.eu/2975/1/multilingualism-and-external-relations-unit-post-a/en_US?backlink=search
My House of European History - Post C,5,https://ep-stages.gestmax.eu/2974/1/my-house-of-european-history-post-c/en_US?backlink=search
My House of European History - Post B,5,https://ep-stages.gestmax.eu/2973/1/my-house-of-european-history-post-b/en_US?backlink=search
My House of European History - Post A,4,https://ep-stages.gestmax.eu/2972/1/my-house-of-european-history-post-a/en_US?backlink=search
Visits and Seminars Unit - POST D: Coordination sector,5,https://ep-stages.gestmax.eu/2971/1/visits-and-seminars-unit-post-d-coordination-sector/en_US?backlink=search
Visits and Seminars Unit - POST C:  Dutch-speaking sector,3,https://ep-stages.gestmax.eu/2970/1/visits-and-seminars-unit-post-c-dutch-speaking-sector/en_US?backlink=search
Visits and Seminar Unit - POST B:  German-speaking sector,3,https://ep-stages.gestmax.eu/2969/1/visits-and-seminars-unit-post-b-german-speaking-sector/en_US?backlink=search
Audiovisual Unit - Post D:  Europe by Satellite Service,6,https://ep-stages.gestmax.eu/2968/1/audiovisual-unit-post-d-europe-by-satellite-service/en_US?backlink=search
Audiovisual Unit - Post C:  Europe by Satellite Service,5,https://ep-stages.gestmax.eu/2967/1/audiovisual-unit-post-c-europe-by-satellite-service/en_US?backlink=search
Visits and Seminars Unit - POST A: French-speaking sector,3,https://ep-stages.gestmax.eu/2966/1/visits-and-seminars-unit-post-a-french-speaking-sector/en_US?backlink=search
Conference Coordination Unit  - Post A,4,https://ep-stages.gestmax.eu/2965/1/conference-coordination-unit-post-a/en_US?backlink=search
Archives Unit,6,https://ep-stages.gestmax.eu/2964/1/archives-unit/en_US?backlink=search
European Parliament Liaison Office in Croatia - Post B,6,https://ep-stages.gestmax.eu/2963/1/european-parliament-liaison-office-in-croatia-post-b/en_US?backlink=search
Eco-management and audit scheme Unit (EMAS),5,https://ep-stages.gestmax.eu/2962/1/eco-management-and-audit-scheme-unit-emas/en_US?backlink=search
European Parliament Liaison Office in Croatia - Post A,9,https://ep-stages.gestmax.eu/2961/1/european-parliament-liaison-office-in-croatia-post-a/en_US?backlink=search
European Union Visitors Programme,32,https://ep-stages.gestmax.eu/2960/1/european-union-visitors-programme/en_US?backlink=search
European Parliament Liaison Office in Romania,13,https://ep-stages.gestmax.eu/2959/1/european-parliament-liaison-office-in-romania/en_US?backlink=search
Conference Usher Unit,4,https://ep-stages.gestmax.eu/2958/1/conference-ushers-unit/en_US?backlink=search
 Risk Assessment Unit - Poste B,15,https://ep-stages.gestmax.eu/2957/1/unite-de-l-evaluation-des-risques-poste-b/en_US?backlink=search
Conference Technicians Unit ,2,https://ep-stages.gestmax.eu/2956/1/conference-technicians-unit/en_US?backlink=search
Risk Assessment Unit - Poste A,17,https://ep-stages.gestmax.eu/2955/1/unite-de-l-evaluation-des-risques-poste-a/en_US?backlink=search
Personnel and planning unit,5,https://ep-stages.gestmax.eu/2954/1/unite-du-personnel-et-de-la-planification/en_US?backlink=search
Facilities Management Unit,6,https://ep-stages.gestmax.eu/2953/1/facilities-management-unit/en_US?backlink=search
Dispatching unit,2,https://ep-stages.gestmax.eu/2952/1/unite-du-dispatching/en_US?backlink=search
Security and Safety Luxembourg Unit,5,https://ep-stages.gestmax.eu/2951/1/unite-securite-et-surete-luxembourg/en_US?backlink=search
Accreditation Unit,2,https://ep-stages.gestmax.eu/2950/1/unite-de-l-accreditation/en_US?backlink=search
Information Technology and  IT Support Unit,5,https://ep-stages.gestmax.eu/2949/1/information-technology-and-it-support-unit/en_US?backlink=search
Directorate-General for Security and Safety,3,https://ep-stages.gestmax.eu/2948/1/direction-generale-de-la-securite-et-de-la-protection/en_US?backlink=search
"Secretariat of the Committee on Civil Liberties, Justice and Home Affairs - Post C",33,https://ep-stages.gestmax.eu/2947/1/secretariat-of-the-committee-on-civil-liberties-justice-and-home-affairs-post-c/en_US?backlink=search
"Secretariat of the Committee on Civil Liberties, Justice and Home Affairs - Post B",24,https://ep-stages.gestmax.eu/2946/1/secretariat-of-the-committee-on-civil-liberties-justice-and-home-affairs-post-b/en_US?backlink=search
"Secretariat of the Committee on Civil Liberties, Justice and Home Affairs - Post A",25,https://ep-stages.gestmax.eu/2945/1/secretariat-of-the-committee-on-civil-liberties-justice-and-home-affairs-post-a/en_US?backlink=search
"Policy Department for Economic, Scientific and Quality of Life Policies - post B",10,https://ep-stages.gestmax.eu/2944/1/policy-department-for-economic-scientific-and-quality-of-life-policies-post-b/en_US?backlink=search
Human Resources Unit,8,https://ep-stages.gestmax.eu/2943/1/human-resources-unit/en_US?backlink=search
Request Management Unit - Post A,2,https://ep-stages.gestmax.eu/2942/1/request-management-unit-post-a/en_US?backlink=search
European Parliament Liaison Office in Slovakia ,4,https://ep-stages.gestmax.eu/2939/1/european-parliament-liaison-office-in-slovakia/en_US?backlink=search
European Parliament Liaison office in the Czech Republic - Post B: Written and online press,2,https://ep-stages.gestmax.eu/2938/1/european-parliament-liaison-office-in-the-czech-republic-post-b-written-and-online-press/en_US?backlink=search
European Parliament Liaison office in the Czech Republic - Post A: Digital communication,2,https://ep-stages.gestmax.eu/2937/1/european-parliament-liaison-office-in-the-czech-republic-post-a-digital-communication/en_US?backlink=search
European Parliament Liaison Office in Poland - Wroclaw Regional Office - Post B: Digital communication,3,https://ep-stages.gestmax.eu/2936/1/european-parliament-liaison-office-in-poland-wroclaw-regional-office-post-b-digital-communicati/en_US?backlink=search
Unit for the Recruitment of Auxiliary Conference Interpreters,4,https://ep-stages.gestmax.eu/2935/1/unit-for-the-recruitment-of-auxiliary-conference-interpreters/en_US?backlink=search
European Parliament Liaison Office in Poland - Wroclaw Regional Office - Post A: Audiovisual communication,1,https://ep-stages.gestmax.eu/2934/1/european-parliament-liaison-office-in-poland-wroclaw-regional-office-post-a-audiovisual-communi/en_US?backlink=search
Interpreter Support and Training Unit,33,https://ep-stages.gestmax.eu/2933/1/interpreter-support-and-training-unit/en_US?backlink=search
European Parliament Liaison Office in Malta - Post A,3,https://ep-stages.gestmax.eu/2932/1/european-parliament-liaison-office-in-malta-post-a/en_US?backlink=search
European Parliament Liaison Office in Malta - Post B,5,https://ep-stages.gestmax.eu/2931/1/european-parliament-liaison-office-in-malta-post-b/en_US?backlink=search
Multilingualism  and Succession Planning Unit - Post A: E-Learning Service,5,https://ep-stages.gestmax.eu/2930/1/multilingualism-and-succession-planning-unit-post-a-e-learning-service/en_US?backlink=search
Directorate for Interpretation,9,https://ep-stages.gestmax.eu/2929/1/directorate-for-interpretation/en_US?backlink=search
Maltese Translation Unit - Post C,0,https://ep-stages.gestmax.eu/2928/1/maltese-translation-unit-post-c/en_US?backlink=search
Maltese Translation Unit - Post B,0,https://ep-stages.gestmax.eu/2927/1/maltese-translation-unit-post-b/en_US?backlink=search
Maltese Translation Unit - Post A,1,https://ep-stages.gestmax.eu/2926/1/maltese-translation-unit-post-a/en_US?backlink=search
Lithuanian Translation Unit – Post C,2,https://ep-stages.gestmax.eu/2925/1/lithuanian-translation-unit-post-c/en_US?backlink=search
Lithuanian Translation Unit – Post B,2,https://ep-stages.gestmax.eu/2924/1/lithuanian-translation-unit-post-b/en_US?backlink=search
Lithuanian Translation Unit – Post A,2,https://ep-stages.gestmax.eu/2923/1/lithuanian-translation-unit-post-a/en_US?backlink=search
European Parliament Liaison Office in Estonia,0,https://ep-stages.gestmax.eu/2922/1/european-parliament-liaison-office-in-estonia/en_US?backlink=search
Latvian Translation Unit - Post A,0,https://ep-stages.gestmax.eu/2921/1/latvian-translation-unit-post-a/en_US?backlink=search
European Parliament Liaison Office in Latvia - Post B: Written and online press ,3,https://ep-stages.gestmax.eu/2920/1/european-parliament-liaison-office-in-latvia-post-b-written-and-online-press/en_US?backlink=search
European Parliament Liaison Office in Austria: - Post B: Digital Communication,6,https://ep-stages.gestmax.eu/2919/1/european-parliament-liaison-office-in-austria-post-b-digital-communication/en_US?backlink=search
European Parliament Liaison Office in Austria: Post A - Written and Online Press,5,https://ep-stages.gestmax.eu/2918/1/european-parliament-liaison-office-in-austria-post-a-written-and-online-press/en_US?backlink=search
European Parliament Liaison Office in Latvia - Post A: Public relations,6,https://ep-stages.gestmax.eu/2917/1/european-parliament-liaison-office-in-latvia-post-a-public-relations/en_US?backlink=search
European Parliament Liaison Office in Sweden - Post B: Media,5,https://ep-stages.gestmax.eu/2916/1/european-parliament-liaison-office-in-sweden-post-b-media/en_US?backlink=search
European Parliament Liaison Office in Lithuania - Post B,0,https://ep-stages.gestmax.eu/2915/1/european-parliament-liaison-office-in-lithuania-post-b/en_US?backlink=search
European Parliament Liaison Office in Sweden - Post A: Event organisation,3,https://ep-stages.gestmax.eu/2914/1/european-parliament-liaison-office-in-sweden-post-a-event-organisation/en_US?backlink=search
European Parliament Liaison Office in Lithuania - Post A,1,https://ep-stages.gestmax.eu/2913/1/european-parliament-liaison-office-in-lithuania-post-a/en_US?backlink=search
European Parliament Liaison Office in Italy - Milan Regional Office,49,https://ep-stages.gestmax.eu/2912/1/european-parliament-liaison-office-in-italy-milan-regional-office/en_US?backlink=search
Communications and Outreach Unit,8,https://ep-stages.gestmax.eu/2911/1/communications-and-outreach-unit/en_US?backlink=search
European Parliament Liaison Office in Italy - Post B,32,https://ep-stages.gestmax.eu/2910/1/european-parliament-liaison-office-in-italy-post-b/en_US?backlink=search
European Parliament Liaison Office in Italy - Post A,33,https://ep-stages.gestmax.eu/2909/1/european-parliament-liaison-office-in-italy-post-a/en_US?backlink=search
Latvian Translation Unit - Post B,0,https://ep-stages.gestmax.eu/2908/1/latvian-translation-unit-post-b/en_US?backlink=search
"Policy Department for Economic, Scientific and Quality of Life Policies - post A",11,https://ep-stages.gestmax.eu/2906/1/policy-department-for-economic-scientific-and-quality-of-life-policies-post-a/en_US?backlink=search
"Secretariat of the Committee on Environment, Public Health and Food Safety - Post B",44,https://ep-stages.gestmax.eu/2905/1/secretariat-of-the-committee-on-environment-public-health-and-food-safety-post-b/en_US?backlink=search
"Secretariat of the Committee on Environment, Public Health and Food Safety - Post A",59,https://ep-stages.gestmax.eu/2904/1/secretariat-of-the-committee-on-environment-public-health-and-food-safety-post-a/en_US?backlink=search
Legislative Affairs Unit - Post B,20,https://ep-stages.gestmax.eu/2903/1/legislative-affairs-unit-post-b/en_US?backlink=search
Legislative Affairs Unit - Post A,13,https://ep-stages.gestmax.eu/2902/1/legislative-affairs-unit-post-a/en_US?backlink=search
Secretariat of the Committee on Petitions - Post B,10,https://ep-stages.gestmax.eu/2901/1/secretariat-of-the-committee-on-petitions-post-b/en_US?backlink=search
Secretariat of the Committee on Petitions - Post A,10,https://ep-stages.gestmax.eu/2900/1/secretariat-of-the-committee-on-petitions-post-a/en_US?backlink=search
Secretariat of the Committee on Employment and Social Affairs,22,https://ep-stages.gestmax.eu/2899/1/secretariat-of-the-committee-on-employment-and-social-affairs/en_US?backlink=search
Directorate for Citizens' Rights and Constitutional Affairs,17,https://ep-stages.gestmax.eu/2898/1/directorate-for-citizens-rights-and-constitutional-affairs/en_US?backlink=search
Policy Department for Citizens' Rights and Constitutional Affairs,34,https://ep-stages.gestmax.eu/2897/1/policy-department-for-citizens-rights-and-constitutional-affairs/en_US?backlink=search
Coordination of Editorial and Communication Activities Unit,7,https://ep-stages.gestmax.eu/2896/1/coordination-of-editorial-and-communication-activities-unit/en_US?backlink=search
Central Support Unit,3,https://ep-stages.gestmax.eu/2893/1/central-support-unit/en_US?backlink=search
Italian Translation Unit - Post B,32,https://ep-stages.gestmax.eu/2892/1/italian-translation-unit-post-b/en_US?backlink=search
People Transport Unit ,1,https://ep-stages.gestmax.eu/2891/1/unite-transport-de-personnes/en_US?backlink=search
Italian Translation Unit - Post A,32,https://ep-stages.gestmax.eu/2890/1/italian-translation-unit-post-a/en_US?backlink=search
Directorate for Building Projects,6,https://ep-stages.gestmax.eu/2889/1/direction-des-projets-immobiliers/en_US?backlink=search
Unité Projets Immobiliers en cours à Strasbourg,0,https://ep-stages.gestmax.eu/2888/1/unite-projets-immobiliers-en-cours-a-strasbourg/fr_FR?backlink=search
Brussels Current Building Projects Unit,6,https://ep-stages.gestmax.eu/2887/1/unite-des-projets-immobiliers-en-cours-a-bruxelles/en_US?backlink=search
